"","date","health_board","percent_beds_in_use_covid"
"386",2020-05-16,"Abertawe Bro Morgannwg University Health Board",0.0670391061452514
"387",2020-05-16,"Cardiff and Vale University Health Board",0.0496980956804459
"388",2020-05-16,"Cwm Taf University Health Board",0.149240393208222
"389",2020-05-16,"Aneurin Bevan University Health Board",0.0984170681348933
"390",2020-05-16,"Powys Teaching Health Board",0.099290780141844
"391",2020-05-16,"Velindre University NHS Trust",0.0333333333333333
"392",2020-05-16,"Wales",0.101603652112841
"393",2020-05-17,"Betsi Cadwaladr University Health Board",0.184598580010923
"394",2020-05-17,"Hywel Dda University Health Board",0.0501635768811341
"395",2020-05-17,"Abertawe Bro Morgannwg University Health Board",0.0675381263616558
"396",2020-05-17,"Cardiff and Vale University Health Board",0.0408732001857873
"397",2020-05-17,"Cwm Taf University Health Board",0.142984807864164
"398",2020-05-17,"Aneurin Bevan University Health Board",0.0949759119064005
"399",2020-05-17,"Powys Teaching Health Board",0.106382978723404
"400",2020-05-17,"Velindre University NHS Trust",0.0333333333333333
"401",2020-05-17,"Wales",0.0990422798411586
"402",2020-05-18,"Betsi Cadwaladr University Health Board",0.171367748802555
"403",2020-05-18,"Hywel Dda University Health Board",0.0493562231759657
"404",2020-05-18,"Abertawe Bro Morgannwg University Health Board",0.067907995618839
"405",2020-05-18,"Cardiff and Vale University Health Board",0.0399442638179285
"406",2020-05-18,"Cwm Taf University Health Board",0.136729222520107
"407",2020-05-18,"Aneurin Bevan University Health Board",0.0935994494150034
"408",2020-05-18,"Powys Teaching Health Board",0.0845070422535211
"409",2020-05-18,"Velindre University NHS Trust",0.1
"410",2020-05-18,"Wales",0.0951165758032711
"411",2020-05-19,"Betsi Cadwaladr University Health Board",0.184689507494647
"412",2020-05-19,"Hywel Dda University Health Board",0.0532030401737242
"413",2020-05-19,"Abertawe Bro Morgannwg University Health Board",0.059016393442623
"414",2020-05-19,"Cardiff and Vale University Health Board",0.0496980956804459
"415",2020-05-19,"Cwm Taf University Health Board",0.170044052863436
"416",2020-05-19,"Aneurin Bevan University Health Board",0.0853406744666208
"417",2020-05-19,"Powys Teaching Health Board",0.0845070422535211
"418",2020-05-19,"Velindre University NHS Trust",0.133333333333333
"419",2020-05-19,"Wales",0.103052106301497
"420",2020-05-20,"Betsi Cadwaladr University Health Board",0.176786673831273
"421",2020-05-20,"Hywel Dda University Health Board",0.0402611534276387
"422",2020-05-20,"Abertawe Bro Morgannwg University Health Board",0.033879781420765
"423",2020-05-20,"Cardiff and Vale University Health Board",0.053166897827092
